start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770951600,1770951660,2026-02-13T03:00:00+00:00,2026-02-13T03:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951660,1770951720,2026-02-13T03:01:00+00:00,2026-02-13T03:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951720,1770951780,2026-02-13T03:02:00+00:00,2026-02-13T03:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951780,1770951840,2026-02-13T03:03:00+00:00,2026-02-13T03:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951840,1770951900,2026-02-13T03:04:00+00:00,2026-02-13T03:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951900,1770951960,2026-02-13T03:05:00+00:00,2026-02-13T03:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951960,1770952020,2026-02-13T03:06:00+00:00,2026-02-13T03:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952020,1770952080,2026-02-13T03:07:00+00:00,2026-02-13T03:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952080,1770952140,2026-02-13T03:08:00+00:00,2026-02-13T03:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952140,1770952200,2026-02-13T03:09:00+00:00,2026-02-13T03:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952200,1770952260,2026-02-13T03:10:00+00:00,2026-02-13T03:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952260,1770952320,2026-02-13T03:11:00+00:00,2026-02-13T03:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952320,1770952380,2026-02-13T03:12:00+00:00,2026-02-13T03:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952380,1770952440,2026-02-13T03:13:00+00:00,2026-02-13T03:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952440,1770952500,2026-02-13T03:14:00+00:00,2026-02-13T03:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952500,1770952560,2026-02-13T03:15:00+00:00,2026-02-13T03:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952560,1770952620,2026-02-13T03:16:00+00:00,2026-02-13T03:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952620,1770952680,2026-02-13T03:17:00+00:00,2026-02-13T03:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952680,1770952740,2026-02-13T03:18:00+00:00,2026-02-13T03:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952740,1770952800,2026-02-13T03:19:00+00:00,2026-02-13T03:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952800,1770952860,2026-02-13T03:20:00+00:00,2026-02-13T03:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1770952860,1770952920,2026-02-13T03:21:00+00:00,2026-02-13T03:22:00+00:00,,,,,,,,,,,,,,,,,,,,
